
**** WER = 0.7134831460674157
Total correct: 51 out of 178
Video  Recognized                                                    Correct
=====================================================================================================
    2: *POSS *LOVE HOMEWORK                                          JOHN WRITE HOMEWORK
    7: *MARY *HAVE GO *TEACHER                                       JOHN CAN GO CAN
   12: *WHO CAN GO CAN                                               JOHN CAN GO CAN
   21: *MARY *MARY WONT *MARY *BUY *GO *FUTURE *MARY                 JOHN FISH WONT EAT BUT CAN EAT CHICKEN
   25: *SOMETHING-ONE *IX *MARY IX IX                                JOHN LIKE IX IX IX
   28: *SOMETHING-ONE *IX IX IX IX                                   JOHN LIKE IX IX IX
   30: *SOMETHING-ONE *IX *WHO IX IX                                 JOHN LIKE IX IX IX
   36: *IX *IX *IX *GIVE *MARY *IX                                   MARY VEGETABLE KNOW IX LIKE CORN1
   40: *MARY IX *MARY *IX *IX                                        JOHN IX THINK MARY LOVE
   43: *MARY *IX BUY HOUSE                                           JOHN MUST BUY HOUSE
   50: *IX *WHO BUY CAR *MARY                                        FUTURE JOHN BUY CAR SHOULD
   54: *SOMETHING-ONE *IX *IX BUY HOUSE                              JOHN SHOULD NOT BUY HOUSE
   57: *MARY *FUTURE *IX *IX                                         JOHN DECIDE VISIT MARY
   67: *SOMETHING-ONE *WHO *IX BUY *LOVE                             JOHN FUTURE NOT BUY HOUSE
   71: *SOMETHING-ONE *MARY VISIT MARY                               JOHN WILL VISIT MARY
   74: *FUTURE *WHO *IX MARY                                         JOHN NOT VISIT MARY
   77: *IX BLAME MARY                                                ANN BLAME MARY
   84: *POSS *GO *IX *MARY                                           IX-1P FIND SOMETHING-ONE BOOK
   89: *MARY IX GIVE *IX IX *POSS *CAN                               JOHN IX GIVE MAN IX NEW COAT
   90: *IX *IX IX *IX WOMAN *MARY                                    JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
   92: *MARY *IX IX *IX *POSS *POSS                                  JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
  100: *SOMETHING-ONE NEW CAR BREAK-DOWN                             POSS NEW CAR BREAK-DOWN
  105: *SOMETHING-ONE *IX                                            JOHN LEG
  107: *MARY POSS FRIEND *MARY *MARY                                 JOHN POSS FRIEND HAVE CANDY
  108: *FUTURE *HAVE                                                 WOMAN ARRIVE
  113: *SOMETHING-ONE CAR *MARY *MARY *BUY1                          IX CAR BLUE SUE BUY
  119: *IX *BUY1 *GO CAR *MARY                                       SUE BUY IX CAR BLUE
  122: *FUTURE *PEOPLE BOOK                                          JOHN READ BOOK
  139: *FUTURE *BUY1 WHAT *IX *MARY                                  JOHN BUY WHAT YESTERDAY BOOK
  142: *SOMETHING-ONE BUY YESTERDAY WHAT *MARY                       JOHN BUY YESTERDAY WHAT BOOK
  158: *GIVE1 *MARY *MARY                                            LOVE JOHN WHO
  167: *IX IX *IX *ARRIVE *WHAT                                      JOHN IX SAY LOVE MARY
  171: *IX *WHO BLAME                                                JOHN MARY BLAME
  174: *GO *MARY GIVE1 *MARY *BOX                                    PEOPLE GROUP GIVE1 JANA TOY
  181: *IX *GIVE1                                                    JOHN ARRIVE
  184: *GIVE *IX *GIVE1 TEACHER *MARY                                ALL BOY GIVE TEACHER APPLE
  189: *IX *IX *IX *WHAT                                             JOHN GIVE GIRL BOX
  193: *MARY *IX *WOMAN BOX                                          JOHN GIVE GIRL BOX
  199: *SOMETHING-ONE *BOOK *MARY                                    LIKE CHOCOLATE WHO
  201: *FUTURE *IX *IX *POSS BUY HOUSE                               JOHN TELL MARY IX-1P BUY HOUSE
