
**** WER = 0.6685393258426966
Total correct: 59 out of 178
Video  Recognized                                                    Correct
=====================================================================================================
    2: JOHN WRITE *ARRIVE                                            JOHN WRITE HOMEWORK
    7: JOHN *NEW *MARY *ARRIVE                                       JOHN CAN GO CAN
   12: *WHAT *WHAT *GO1 CAN                                          JOHN CAN GO CAN
   21: *LIKE *NEW *HAVE *IX-1P *VISIT *BLAME *CHICKEN *WRITE         JOHN FISH WONT EAT BUT CAN EAT CHICKEN
   25: *GO LIKE *GO *LIKE *GO                                        JOHN LIKE IX IX IX
   28: *ANN LIKE *ANN *LIKE *ANN                                     JOHN LIKE IX IX IX
   30: *SHOOT LIKE *LOVE *LIKE IX                                    JOHN LIKE IX IX IX
   36: *SHOOT *NOT *YESTERDAY *VISIT *LEAVE *LIKE                    MARY VEGETABLE KNOW IX LIKE CORN1
   40: *SHOOT *VISIT *FUTURE1 *NOT LOVE                              JOHN IX THINK MARY LOVE
   43: JOHN *JOHN BUY HOUSE                                          JOHN MUST BUY HOUSE
   50: *POSS *FRANK *HAVE *HAVE *SOMETHING-ONE                       FUTURE JOHN BUY CAR SHOULD
   54: JOHN *JOHN *PREFER BUY HOUSE                                  JOHN SHOULD NOT BUY HOUSE
   57: *IX *WHO *MARY *LOVE                                          JOHN DECIDE VISIT MARY
   67: *LIKE FUTURE *JOHN *ARRIVE HOUSE                              JOHN FUTURE NOT BUY HOUSE
   71: JOHN WILL *BLAME MARY                                         JOHN WILL VISIT MARY
   74: JOHN *BILL VISIT *LOVE                                        JOHN NOT VISIT MARY
   77: *GO *MARY *LOVE                                               ANN BLAME MARY
   84: *JOHN *HAVE *POSS *WRITE                                      IX-1P FIND SOMETHING-ONE BOOK
   89: *WHO *THROW *GO *MARY IX NEW COAT                             JOHN IX GIVE MAN IX NEW COAT
   90: *SELF *GIVE1 IX *FUTURE WOMAN *LOVE                           JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
   92: JOHN *GIVE1 IX *IX WOMAN BOOK                                 JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
  100: POSS NEW *HOUSE BREAK-DOWN                                    POSS NEW CAR BREAK-DOWN
  105: JOHN *POSS                                                    JOHN LEG
  107: *TELL *IX *BOX *LIKE *JANA                                    JOHN POSS FRIEND HAVE CANDY
  108: *LOVE *HOMEWORK                                               WOMAN ARRIVE
  113: IX CAR *IX *JOHN *BOX                                         IX CAR BLUE SUE BUY
  119: *NOT *BUY1 *SOMETHING-ONE *PEOPLE *SUE                        SUE BUY IX CAR BLUE
  122: JOHN *HOUSE BOOK                                              JOHN READ BOOK
  139: JOHN *BUY1 *VIDEOTAPE YESTERDAY *LOVE                         JOHN BUY WHAT YESTERDAY BOOK
  142: JOHN *ARRIVE YESTERDAY WHAT BOOK                              JOHN BUY YESTERDAY WHAT BOOK
  158: LOVE *MARY *CORN                                              LOVE JOHN WHO
  167: *TELL *VISIT *SAY-1P LOVE MARY                                JOHN IX SAY LOVE MARY
  171: *SHOOT *JOHN BLAME                                            JOHN MARY BLAME
  174: *NEW *GIVE1 GIVE1 *TELL *CAR                                  PEOPLE GROUP GIVE1 JANA TOY
  181: *VISIT *BOX                                                   JOHN ARRIVE
  184: *IX BOY *GIVE1 TEACHER APPLE                                  ALL BOY GIVE TEACHER APPLE
  189: *JANA *GIVE1 *NOT *ARRIVE                                     JOHN GIVE GIRL BOX
  193: JOHN *SEE *WHO BOX                                            JOHN GIVE GIRL BOX
  199: *JOHN CHOCOLATE *JOHN                                         LIKE CHOCOLATE WHO
  201: JOHN *THINK *WOMAN *WOMAN BUY HOUSE                           JOHN TELL MARY IX-1P BUY HOUSE
