
**** WER = 0.6067415730337079
Total correct: 70 out of 178
Video  Recognized                                                    Correct
=====================================================================================================
    2: *POSS WRITE HOMEWORK                                          JOHN WRITE HOMEWORK
    7: JOHN *HAVE GO *WHAT                                           JOHN CAN GO CAN
   12: *IX *WHAT *WHAT CAN                                           JOHN CAN GO CAN
   21: JOHN *HOMEWORK *POSS *JOHN *CAR *CAR *VISIT *TOMORROW         JOHN FISH WONT EAT BUT CAN EAT CHICKEN
   25: JOHN LIKE *LOVE *JOHN IX                                      JOHN LIKE IX IX IX
   28: JOHN *JOHN *MARY *JOHN IX                                     JOHN LIKE IX IX IX
   30: JOHN LIKE IX *LIKE IX                                         JOHN LIKE IX IX IX
   36: MARY VEGETABLE *YESTERDAY *SHOOT *MARY *MARY                  MARY VEGETABLE KNOW IX LIKE CORN1
   40: JOHN *GIVE *GIRL *JANA *IX                                    JOHN IX THINK MARY LOVE
   43: JOHN *IX BUY HOUSE                                            JOHN MUST BUY HOUSE
   50: *JOHN *FRANK BUY CAR *WHAT                                    FUTURE JOHN BUY CAR SHOULD
   54: JOHN *FRANK *WHO BUY HOUSE                                    JOHN SHOULD NOT BUY HOUSE
   57: *IX *SEE *GIVE *IX                                            JOHN DECIDE VISIT MARY
   67: JOHN *JOHN NOT BUY HOUSE                                      JOHN FUTURE NOT BUY HOUSE
   71: JOHN *FINISH *GO *BLAME                                       JOHN WILL VISIT MARY
   74: *IX *IX *MARY *GO                                             JOHN NOT VISIT MARY
   77: *JOHN BLAME *SOMETHING-ONE                                    ANN BLAME MARY
   84: *HOMEWORK *ARRIVE *POSS BOOK                                  IX-1P FIND SOMETHING-ONE BOOK
   89: *MAN IX *WOMAN *IX IX *ARRIVE *BOOK                           JOHN IX GIVE MAN IX NEW COAT
   90: JOHN *GIVE1 *WOMAN *GIVE3 WOMAN *COAT                         JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
   92: JOHN *WOMAN IX *WOMAN *SOMETHING-ONE BOOK                     JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
  100: POSS NEW CAR BREAK-DOWN                                       POSS NEW CAR BREAK-DOWN
  105: JOHN *FUTURE1                                                 JOHN LEG
  107: JOHN *GIVE *HAVE *GO *WHO                                     JOHN POSS FRIEND HAVE CANDY
  108: *MARY *HOMEWORK                                               WOMAN ARRIVE
  113: *GO *HAVE *GO *JANA *BUY1                                     IX CAR BLUE SUE BUY
  119: *VEGETABLE *BUY1 *GO *HAVE *GIVE                              SUE BUY IX CAR BLUE
  122: JOHN *HOUSE BOOK                                              JOHN READ BOOK
  139: JOHN *BUY1 *PEOPLE YESTERDAY *CHOCOLATE                       JOHN BUY WHAT YESTERDAY BOOK
  142: JOHN *NEW YESTERDAY *TEACHER BOOK                             JOHN BUY YESTERDAY WHAT BOOK
  158: LOVE JOHN *TELL                                               LOVE JOHN WHO
  167: JOHN *MARY *MARY *WOMAN *GO                                   JOHN IX SAY LOVE MARY
  171: JOHN MARY BLAME                                               JOHN MARY BLAME
  174: *CAN *GIVE3 GIVE1 *CORN *WHAT                                 PEOPLE GROUP GIVE1 JANA TOY
  181: *VISIT *BOX                                                   JOHN ARRIVE
  184: ALL *YESTERDAY *BLAME TEACHER *GIRL                           ALL BOY GIVE TEACHER APPLE
  189: JOHN GIVE *YESTERDAY *CAN                                     JOHN GIVE GIRL BOX
  193: JOHN *GIVE1 *YESTERDAY BOX                                    JOHN GIVE GIRL BOX
  199: *HOMEWORK CHOCOLATE *JOHN                                     LIKE CHOCOLATE WHO
  201: JOHN *MAN *MAN *LOVE BUY HOUSE                                JOHN TELL MARY IX-1P BUY HOUSE
