
**** WER = 0.5449438202247191
Total correct: 81 out of 178
Video  Recognized                                                    Correct
=====================================================================================================
    2: *POSS WRITE HOMEWORK                                          JOHN WRITE HOMEWORK
    7: JOHN *PEOPLE *HAVE *ARRIVE                                    JOHN CAN GO CAN
   12: JOHN CAN *WHAT CAN                                            JOHN CAN GO CAN
   21: JOHN *NEW *JOHN *NOT *CAR *CAR *VISIT *MARY                   JOHN FISH WONT EAT BUT CAN EAT CHICKEN
   25: *IX LIKE IX *LIKE IX                                          JOHN LIKE IX IX IX
   28: JOHN *WHO IX *LIKE IX                                         JOHN LIKE IX IX IX
   30: JOHN LIKE *MARY *MARY *MARY                                   JOHN LIKE IX IX IX
   36: MARY *JOHN *IX *MARY *IX *MARY                                MARY VEGETABLE KNOW IX LIKE CORN1
   40: JOHN *MARY *CORN MARY *MARY                                   JOHN IX THINK MARY LOVE
   43: *FRANK *POSS BUY HOUSE                                        JOHN MUST BUY HOUSE
   50: *POSS *POSS BUY CAR *SOMETHING-ONE                            FUTURE JOHN BUY CAR SHOULD
   54: JOHN SHOULD *FUTURE BUY HOUSE                                 JOHN SHOULD NOT BUY HOUSE
   57: JOHN *JOHN *IX MARY                                           JOHN DECIDE VISIT MARY
   67: *TELL FUTURE *MARY BUY HOUSE                                  JOHN FUTURE NOT BUY HOUSE
   71: JOHN *FUTURE *GIVE1 MARY                                      JOHN WILL VISIT MARY
   74: *MARY *MARY *MARY MARY                                        JOHN NOT VISIT MARY
   77: *IX BLAME MARY                                                ANN BLAME MARY
   84: *IX *ARRIVE *HOMEWORK BOOK                                    IX-1P FIND SOMETHING-ONE BOOK
   89: JOHN IX *IX *IX IX NEW COAT                                   JOHN IX GIVE MAN IX NEW COAT
   90: *SOMETHING-ONE *SOMETHING-ONE IX *IX *MARY BOOK               JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
   92: JOHN *WOMAN *WOMAN *WOMAN WOMAN BOOK                          JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
  100: POSS NEW CAR BREAK-DOWN                                       POSS NEW CAR BREAK-DOWN
  105: *FRANK *POSS                                                  JOHN LEG
  107: JOHN *SOMETHING-ONE *HAVE HAVE *JOHN                          JOHN POSS FRIEND HAVE CANDY
  108: *MARY ARRIVE                                                  WOMAN ARRIVE
  113: *JOHN CAR *CAR *JOHN *BOX                                     IX CAR BLUE SUE BUY
  119: *MARY *BUY1 IX *BLAME *HAVE                                   SUE BUY IX CAR BLUE
  122: JOHN *GIVE1 BOOK                                              JOHN READ BOOK
  139: *IX *BUY1 WHAT YESTERDAY BOOK                                 JOHN BUY WHAT YESTERDAY BOOK
  142: *FRANK BUY YESTERDAY WHAT BOOK                                JOHN BUY YESTERDAY WHAT BOOK
  158: LOVE *MARY WHO                                                LOVE JOHN WHO
  167: *MARY *MARY *MARY LOVE *LOVE                                  JOHN IX SAY LOVE MARY
  171: *MARY *IX BLAME                                               JOHN MARY BLAME
  174: *GIVE1 *GIVE1 GIVE1 *MARY *BLAME                              PEOPLE GROUP GIVE1 JANA TOY
  181: JOHN *BOX                                                     JOHN ARRIVE
  184: *IX BOY *GIVE1 TEACHER APPLE                                  ALL BOY GIVE TEACHER APPLE
  189: *JANA *SOMETHING-ONE *YESTERDAY BOX                           JOHN GIVE GIRL BOX
  193: JOHN *SOMETHING-ONE *YESTERDAY BOX                            JOHN GIVE GIRL BOX
  199: *JOHN CHOCOLATE *MARY                                         LIKE CHOCOLATE WHO
  201: JOHN *MAN *WOMAN *LOVE BUY HOUSE                              JOHN TELL MARY IX-1P BUY HOUSE
