
**** WER = 0.5955056179775281/Users/trimchala/Courses/AIND/AIND-Recognizer/experiment/dic_reduced_features.txt
Total correct: 72 out of 178
Video  Recognized                                                    Correct
=====================================================================================================
    2: *POSS WRITE HOMEWORK                                          JOHN WRITE HOMEWORK
    7: JOHN CAN *IX *ARRIVE                                          JOHN CAN GO CAN
   12: *IX CAN *WHAT CAN                                             JOHN CAN GO CAN
   21: *IX *HOMEWORK WONT *PREFER *CAR *CAR *FUTURE *MARY            JOHN FISH WONT EAT BUT CAN EAT CHICKEN
   25: *FRANK *WHO IX *WHO IX                                        JOHN LIKE IX IX IX
   28: *IX *WHO *FUTURE *WHO IX                                      JOHN LIKE IX IX IX
   30: JOHN LIKE *MARY *MARY *MARY                                   JOHN LIKE IX IX IX
   36: MARY *JOHN *IX *GIVE *GO *MARY                                MARY VEGETABLE KNOW IX LIKE CORN1
   40: JOHN *GIVE *CORN MARY *MARY                                   JOHN IX THINK MARY LOVE
   43: *FRANK *SHOULD BUY HOUSE                                      JOHN MUST BUY HOUSE
   50: *POSS *SEE BUY CAR SHOULD                                     FUTURE JOHN BUY CAR SHOULD
   54: *IX *FRANK *WOMAN BUY HOUSE                                   JOHN SHOULD NOT BUY HOUSE
   57: JOHN *JOHN *IX MARY                                           JOHN DECIDE VISIT MARY
   67: *TELL FUTURE *MARY BUY HOUSE                                  JOHN FUTURE NOT BUY HOUSE
   71: *IX *IX *GIVE1 MARY                                           JOHN WILL VISIT MARY
   74: *MARY *MARY *MARY MARY                                        JOHN NOT VISIT MARY
   77: *IX BLAME *IX                                                 ANN BLAME MARY
   84: *LOVE *ARRIVE *HOMEWORK BOOK                                  IX-1P FIND SOMETHING-ONE BOOK
   89: *IX IX *IX *IX IX NEW *BOOK                                   JOHN IX GIVE MAN IX NEW COAT
   90: JOHN *IX IX *IX *IX *COAT                                     JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
   92: *IX *WOMAN *WOMAN *WOMAN WOMAN BOOK                           JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
  100: POSS NEW CAR BREAK-DOWN                                       POSS NEW CAR BREAK-DOWN
  105: *POSS *VEGETABLE                                              JOHN LEG
  107: JOHN *IX *HAVE *VISIT *JOHN                                   JOHN POSS FRIEND HAVE CANDY
  108: *MARY *BOOK                                                   WOMAN ARRIVE
  113: *JOHN CAR *IX *JOHN *IX                                       IX CAR BLUE SUE BUY
  119: *MARY *BUY1 IX CAR *IX                                        SUE BUY IX CAR BLUE
  122: JOHN *GIVE1 BOOK                                              JOHN READ BOOK
  139: JOHN *BUY1 *CAR YESTERDAY BOOK                                JOHN BUY WHAT YESTERDAY BOOK
  142: *FRANK BUY YESTERDAY WHAT BOOK                                JOHN BUY YESTERDAY WHAT BOOK
  158: LOVE *MARY WHO                                                LOVE JOHN WHO
  167: JOHN *SOMETHING-ONE *MARY *WOMAN *LOVE                        JOHN IX SAY LOVE MARY
  171: *MARY *IX BLAME                                               JOHN MARY BLAME
  174: *GIVE1 *GIVE3 GIVE1 *MARY *BLAME                              PEOPLE GROUP GIVE1 JANA TOY
  181: JOHN ARRIVE                                                   JOHN ARRIVE
  184: *IX BOY *GIVE1 TEACHER *YESTERDAY                             ALL BOY GIVE TEACHER APPLE
  189: JOHN *SOMETHING-ONE *JOHN *CAN                                JOHN GIVE GIRL BOX
  193: JOHN *SOMETHING-ONE *IX BOX                                   JOHN GIVE GIRL BOX
  199: *IX CHOCOLATE WHO                                             LIKE CHOCOLATE WHO
  201: JOHN *MAN *IX *IX BUY HOUSE                                   JOHN TELL MARY IX-1P BUY HOUSE
